kiss	sway	wayland/sway
kiss	wl-clipboard	
netbsd	alacritty	alacritty
netbsd	awesome	awesome
netbsd	bemenu	
netbsd	bspwm	bspwm
netbsd	dmenu	dmenu
netbsd	dunst	dunst
netbsd	dwl	
netbsd	dwm	dwm
netbsd	fastfetch	fastfetch
netbsd	foot	foot
netbsd	fuzzel	
netbsd	grim	grim
netbsd	hyprland	
netbsd	i3	i3
netbsd	i3lock	i3lock
netbsd	icewm	icewm
netbsd	kitty	kitty
netbsd	maim	maim
netbsd	mako	
netbsd	mangowm	
netbsd	niri	
netbsd	openbox	openbox
netbsd	polybar	
netbsd	pulseaudio-utils	pulseaudio
netbsd	python	python312
netbsd	qtile	
netbsd	river	
netbsd	rofi	rofi
netbsd	rofi-wayland	
netbsd	slurp	slurp
netbsd	st	st-term
netbsd	swaybg	swaybg
netbsd	swayfx	
netbsd	swayidle	swayidle
netbsd	swaylock	swaylock
netbsd	swaync	
netbsd	sway	sway
netbsd	tint2	tint2
netbsd	tofi	
netbsd	uwsm	
netbsd	waybar	
netbsd	wayfire	
netbsd	wireplumber	
netbsd	wl-clipboard	wl-clipboard
netbsd	wofi	
netbsd	xclip	xclip
netbsd	xmonad	xmonad
netbsd	xorg-xrandr	xrandr
netbsd	xsetroot	xsetroot
netbsd	xterm	xterm
netbsd	yambar	
nix	alacritty	alacritty
nix	awesome	awesome
nix	bemenu	bemenu
nix	bspwm	bspwm
nix	dmenu	dmenu
nix	dunst	dunst
nix	dwl	dwl
nix	dwm	dwm
nix	fastfetch	fastfetch
nix	foot	foot
nix	fuzzel	fuzzel
nix	grim	grim
nix	hyprland	hyprland
nix	i3	i3
nix	i3lock	i3lock
nix	icewm	icewm
nix	kitty	kitty
nix	maim	maim
nix	mako	mako
nix	mangowm	mango
nix	niri	niri
nix	openbox	openbox
nix	polybar	polybar
nix	pulseaudio-utils	pulseaudio
nix	python	python3
nix	qtile	python313Packages.qtile
nix	river	river
nix	rofi	rofi
nix	rofi-wayland	
nix	slurp	slurp
nix	st	st
nix	swaybg	swaybg
nix	swayfx	swayfx
nix	swayidle	swayidle
nix	swaylock	swaylock
nix	swaync	swaynotificationcenter
nix	sway	sway
nix	tint2	tint2
nix	tofi	tofi
nix	uwsm	uwsm
nix	waybar	waybar
nix	wayfire	wayfire
nix	wireplumber	wireplumber
nix	wl-clipboard	wl-clipboard
nix	wofi	wofi
nix	xclip	xclip
nix	xmonad	xmonad-with-packages
nix	xorg-xrandr	xrandr
nix	xsetroot	xsetroot
nix	xterm	xterm
nix	yambar	yambar
openbsd	alacritty	alacritty
openbsd	awesome	awesome
openbsd	bemenu	bemenu
openbsd	bspwm	bspwm
openbsd	dmenu	dmenu
openbsd	dunst	dunst
openbsd	dwl	
openbsd	dwm	dwm
openbsd	fastfetch	fastfetch
openbsd	foot	foot
openbsd	fuzzel	fuzzel
openbsd	grim	grim
openbsd	hyprland	
openbsd	i3	i3
openbsd	i3lock	i3lock
openbsd	icewm	icewm
openbsd	idle	xidle
openbsd	kitty	kitty
openbsd	maim	maim
openbsd	mako	
openbsd	mangowm	mango
openbsd	niri	niri
openbsd	openbox	openbox
openbsd	polybar	polybar
openbsd	pulseaudio-utils	pulseaudio
openbsd	python	python3
openbsd	qtile	
openbsd	river	
openbsd	rofi	rofi
openbsd	rofi-wayland	
openbsd	slurp	slurp
openbsd	st	st
openbsd	swaybg	swaybg
openbsd	swayfx	
openbsd	swayidle	swayidle
openbsd	swaylock	swaylock
openbsd	swaync	
openbsd	sway	sway
openbsd	tint2	tint2
openbsd	tofi	
openbsd	uwsm	
openbsd	waybar	waybar
openbsd	wayfire	wayfire
